id,division,sub,BU,SSno,name,SSkv,owned,EHVname,switching,lat,lng,capacity,solarcap,plant,ptrans,feeder,outfeeder,infeeder,infeederss,img
129,KOLHAPUR RURAL II DIV.,HUPARI,7111,144064,33/11 KV HUPARI,33/11 KV,Y,,N,16.6159759,74.4037249,20,,,4,7,7,0,1,/assets/ss.png
130,KOLHAPUR RURAL II DIV.,HUPARI,7111,144065,33/11 KV S/ST PATTANKODOLI,33/11 KV,Y,,N,16.6549839,74.3625181,15,,,1,9,9,0,1,/assets/ss.png
131,KOLHAPUR RURAL II DIV.,HUPARI,7111,144076,33/11 KV RANGOLI,33/11 KV,Y,,N,16.6350139,74.4405498,5,,,1,4,4,0,1,/assets/ss.png
132,KOLHAPUR RURAL II DIV.,HUPARI,7111,144085,33/11KV YELGUD SUBSTATION,33/11 KV,Y,,N,16.6011935,74.4155836,5,,,1,4,4,0,1,/assets/ss.png
133,KOLHAPUR RURAL II DIV.,HUPARI,7111,144095,33/11KV GADMUDSHINGI,33/11 KV,Y,,N,16.6750121,74.2994615,10,,,2,6,6,0,1,/assets/ss.png
134,KOLHAPUR RURAL II DIV.,KAGAL,7129,144016,33/11 KV KAGAL SUBSTATION,33/11 KV,Y,,N,16.5896559,74.3077794,15,,,2,11,10,1,1,/assets/ss.png
135,KOLHAPUR RURAL II DIV.,KAGAL,7129,144067,33/11 KV K'SANGAON,33/11 KV,Y,,N,16.5997312,74.3529662,10,,,1,9,8,1,1,/assets/ss.png
136,KOLHAPUR RURAL II DIV.,KAGAL,7129,146012,110/33 KV G.SHIRGAON,110/33 KV,N,Kolhapur,N,16.6361861,74.2758972,100,,,,10,4,5,0,/assets/ss.png
137,KOLHAPUR RURAL II DIV.,KAGAL,7129,148002,220/110/33 KV MUDSHINGI,220/33 KV,N,Kolhapur,N,16.6751133,74.2995283,100,,,,12,3,8,0,/assets/ss.png
138,KOLHAPUR RURAL II DIV.,KAGAL,7129,148009,220/33KV FIVE STAR EHV S/STN,220/33 KV,N,Kolhapur,N,16.6104702,74.3695023,150,,,,18,14,3,0,/assets/ss.png
139,KOLHAPUR RURAL II DIV.,KAGAL,7129,144017,33/11 KV GOKULSHIRGAON,33/11 KV,Y,,N,16.6359601,74.2754957,35,,,4,15,15,0,1,/assets/ss.png
